repo,tag,layer_count
buddycloud/channel-server,latest,27
buddycloud/complete-stack,latest,61
building5/ses-relay,latest,12
builtdock/dokku-in-docker,latest,25
buoyantio/linkerd,latest,19
burakasaurus/javahelloworld,1,15
burkostya/npm-registry,latest,16
bwawrik/bioinformatics,latest,53
bwbush/vnc,latest,26
bwbush/chrome,latest,31
bwits/pdf2htmlex,latest,7
bydga/portus,latest,31
bylexus/apache-php53,latest,14
byteflair/swagger-editor,latest,18
c3h3/ml-for-hackers,latest,28
c3h3/pip-orange,latest,23
caarlos0/alpine-go,latest,8
caarlos0/alpine-oraclejdk7-mvn,latest,7
cacciald/hazelcast,latest,20
cachethq/cachet,latest,14
cachethq/docker,latest,16
cade/webmaker-api,latest,16
cahna/mailpile,latest,18
caioquirino/docker-cloudera-quickstart,latest,35
calebmadrigal/nyancat,latest,12
calico/node,latest,10
caltha/protractor,latest,16
cameronmaske/env-flask,latest,19
camlistore/camlistored,latest,6
campbellsoftwaresolutions/osticket,latest,21
camptocamp/puppetserver,latest,40
campusparty/thumbor-docker,latest,20
camunda/camunda-bpm-platform,latest,18
cannin/pcviz,latest,24
cantara/greylog2,latest,31
cantino/huginn-single-process,latest,13
cantino/huginn,latest,21
capes/mesos,latest,20
capgemini/dcos-cli,latest,14
capgemini/mesos-ui,latest,12
capitaloneio/hygieia-ui,latest,18
capitaloneio/hygieia-api,latest,25
capoferro/swagger-ui,latest,21
captinsano/tonido,latest,31
carbonoio/carbono-auth-server,latest,16
carbonsrv/carbon,latest,11
carcinogen75/3proxy,latest,30
cardcorp/r-java,latest,15
cargonauts/consul-haproxy,latest,12
cargonauts/consul-elasticsearch,latest,27
cargonauts/consul-http-router,latest,15
carlobellettini/eiffelstudio,latest,15
carmark/seaweedfs,latest,18
carrasco/kazoo-sandbox,latest,38
cartertsai/stm32-dev,latest,26
caskdata/coopr-standalone,latest,25
cassa/vestacp,latest,27
cassj/brat,latest,36
castawaylabs/lamp-docker,latest,43
castiron/typo3-solr,latest,40
cataska/hubot-slack,latest,24
catatnight/postfix,latest,13
catatnight/freeradius,latest,14
catchy/devdocs,latest,18
caterpillar/java-tutorial,latest,21
caterpillar/python-tutorial,latest,20
caterpillar/rpi-golang,latest,21
catholabs/alpine,latest,19
catholabs/elastic-with-marvel,latest,26
cbanbury/centos-docker,latest,21
cbeer/piwik,latest,23
cbeer/cayley,latest,19
cbeer/red5,latest,12
cbeulke/rpi-ddclient,latest,8
cboettig/texlive,latest,5
cbuisson/chef-server,latest,22
ccoleman/openshift-origin-broker,latest,28
ccoleman/geard,latest,13
ccurdt/docker-whale,latest,12
